Codigo,Entidad,Tipo,Nombre Software,Versión,URL,Estado,Años conformidad,Fec.Solicitud,Nota.Solicitud,Fec.Conformidad,Informe Tec.,SICOES,Detalle
167,Empresa de Luz y Fuerza Eléctrica Cochabamba,Renovación,ORACLE ENTERPRISE EDITION,12C,www.oracle.com,EN ESPERA DE NOTA,1,,,10/05/2018,,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTY4
168,Vicepresidencia del Estado Plurinacional,Renovación,G DATA Business,14.1,https://latam.gdatasoftware.com/empresas,INFORME EMITIDO,1,11/05/2018,VPEP-SG-DGAA N 0523/2018,14/05/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_169.pdf,No se encontró registro por ser compra menor,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTY5
169,Autoridad de Fiscalización y Control Social de Electricidad,Renovación,IBM SPSS STATISTICS PROFESSIONAL,24,www.ibm.com/software,INFORME EMITIDO,1,18/05/2018,AE-1254-DPT-211/2018,21/05/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_170.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTcw
170,Unidad de Investigaciones Financieras,Renovación,GDATA EndpointProtection Enterprise,14.0.1.122,www.gdata.es,INFORME EMITIDO,1,11/06/2018,UIF/DAAF/UAA/212/2018,12/06/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_171.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTcx
171,Autoridad General de Impugnación Tributaria,Renovación,Licencias UTM-IDP-Servicio Juniper anual de protección perimetral,1,https://www.juniper.net/support/downloads/?p=srx210#,INFORME EMITIDO,1,,,14/05/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_172.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTcy
173,Autoridad General de Impugnación Tributaria,Renovación,Renovacion Antivirus,10.3.0.6294,https://help.kaspersky.com/es/,INFORME EMITIDO,1,,,14/05/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_174.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTc0
174,Autoridad General de Impugnación Tributaria,Renovación,Licencias UTM-IDP-Servicio Sonicwall,6.1.0.6,https://www.sonicwall.com/LEGAL/EUPA.ASPX,INFORME EMITIDO,1,11/05/2018,AGIT-140/2018,14/05/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_175.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTc1
176,Autoridad General de Impugnación Tributaria,Renovación,Servicio de video Conferencia WEB,1,https://www.gotomeeting.com/,EN ESPERA DE NOTA,1,,,,,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTc3
179,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,SEIS EARTH SKUA Y GEOLOG PARADIGM-EMERSON,ultimas,http://www.emerson.com,INFORME EMITIDO,1,13/12/2018,ENDE-UEPI-12/33-18,19/12/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_180.pdf,18-0513-00-894587-0-E,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTgw
180,Agencia de Infraestructura en Salud y Equipamiento Medico,Renovación,Kaspersky Endpoint Security for Business,Select,https://latam.kaspersky.com/small-to-medium-business-security/endpoint-select,INFORME EMITIDO,1,16/05/2018,AISEM/DAF/CE/0152/18,24/05/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_181.pdf,No se encuentran registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTgx
181,Banco Central de Bolivia,Renovación,LUMION PRO,8.3,https://www.lumion.es/lumion-8/,INFORME EMITIDO,1,02/10/2018,BCB-GSIS-SII-CE-2018-9,03/10/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_182.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTgy
183,Agencia de Infraestructura en Salud y Equipamiento Medico,Adquisición,FortiOS,6.0,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/FortiGate_100E_Series.pdf,INFORME EMITIDO,1,04/07/2018,AISEM/DGE/CE/0173/18,09/07/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_184.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTg0
184,Agencia Boliviana de Energía Nuclear,Adquisición,Oracle’s Primavera P6 Enterprise Project Portfolio Management,16.1,https://www.oracle.com/es/applications/primavera/products/project-management.html,ELABORANDO INFORME,1,10/09/2018,ABEN/DGE/NE/N785/2018,13/09/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTg1
185,Aduana Nacional,Renovación,AUTOCAD,2019,https://www.autodesk.com,INFORME EMITIDO,1,18/07/2018,ADSIB/DE/1043/2018,18/07/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_186.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTg2
186,Fundacion Cultural del Banco Central de Bolivia,Otro,Contabilidad Visual,2018,http://www.sucreb.com/,INFORME EMITIDO,1,18/07/2018,ADSIB/DE/1048/2018,19/07/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_187.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTg3
187,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,Checkpoint,GAIA 8.10,https://www.checkpoint.com/,INFORME EMITIDO,1,,,30/06/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_188.pdf,19 0513 00 937176 0 E,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTg4
188,Servicio de Impuestos Nacionales,Renovación,Veeam Backup & Replication,9.x,www.veeam.com,ELABORANDO INFORME,1,16/08/2018,SIN,28/08/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTg5
189,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,MESA EXPERT,ultima,https://www.iongeo.com/Operations_Optimization/Survey_Design_and_Planning/,INFORME EMITIDO,1,27/07/2018,YPFB-PRS-GTIC-375/18,30/07/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_190.pdf,No se encuentran registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTkw
190,Aduana Nacional,Renovación,GEFEG.FX,3.7,https://www.gefeg.com,INFORME EMITIDO,1,18/07/2018,ADSIB/DE/1041/2018,19/07/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_191.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTkx
193,Banco Central de Bolivia,Otro,Citrix XenApp / XenDesktop,7.18,https://lac.citrix.com,INFORME EMITIDO,1,23/08/2018,BCB-GSIS-SII-CE-2018-7,24/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_194.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTk0
194,Banco Central de Bolivia,Renovación,IBM DB2 Workgroup Server Edition,10.5,http://www-01.ibm.com/support/docview.wss?uid=swg21638030,INFORME EMITIDO,1,20/07/2018,BCB-GSIS-SII-CE-2018-6,20/07/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_195.pdf,15-0951-00-580613-0-E,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTk1
198,Aduana Nacional,Renovación,Veeam Backup and Replication,Enterprise Plus 9.5,https://www.veeam.com,INFORME EMITIDO,1,07/08/2018,AN-PREDC-C-2136/2018,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_199.pdf,18-0283-00-868639-1-1,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MTk5
200,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,KAPPA WORKSTATION: SAPHIR EMERAUDE TOPAZE RUBIS,última,www.kappaeng.com,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_201.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjAx
201,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria,Adquisición,Licencia de SQL SERVER 2017 Enterprise (Business Intelligence),ENTERPRISE 2017,https://www.microsoft.com/es-es/sql-server/sql-business-intelligence,EN ESPERA DE NOTA,1,,,10/07/2018,,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjAy
204,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria,Renovación,Licencia ArcGIS for Server Enterprise Standard,10.6,http://www.esri.es/producto/arcgis-enterprise/,EN ESPERA DE NOTA,1,,,11/07/2018,,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjA1
205,Empresa Nacional de Electricidad,Adquisición,NEWAVE,26.0,http://www.cepel.br/produtos/newave-modelo-de-planejamento-da-operacao-de-sistemas-hidrotermicos-interligados-de-longo-e-medio-prazo.htm,INFORME EMITIDO,1,13/09/2018,ENDE-ATIN-8/24-18,17/09/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_206.pdf,18-0514-00-913184-0-E,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjA2
206,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,SOFTWARE WELLCAT,últimas,www.halliburton.com,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_207.pdf,18-0513-00-927955-0-E,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjA3
209,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria,Renovación,Antivirus Kaspersky Enpoint Security for Business  Select,Version 11,https://www.kaspersky.com/small-to-medium-business-security/downloads/endpoint,INFORME EMITIDO,1,14/12/2018,OF. CITE SENASAG/DN/N2253/2018,19/12/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_210.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjEw
212,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,T-NAVIGATOR,ultima,https://rfdyn.com/tnavigator/,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_213.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjEz
213,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,Dionisos Flow,ultima,www.beicip.com,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_214.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjE0
214,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,Temis Flow,ultima,www.beicip.com,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_215.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjE1
215,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,Kronos Flow,ultima,www.beicip.com,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_216.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjE2
216,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,Easy Trace,u,www.beicip.com,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_217.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjE3
218,Comite Nacional de Despacho de Carga,Soporte,Renovación de Soporte para SAPBusinessOne,BussinessOne,https://www.sap.com/index.html,EN ESPERA DE NOTA,1,,,20/07/2018,,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjE5
219,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,Petrel,ultima,https://www.software.slb.com/products/petrel,INFORME EMITIDO,1,,,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_220.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjIw
220,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,KINGDOM,ultima,https://ihsmarkit.com/products/kingdom-seismic-geological-interpretation-software.html,INFORME EMITIDO,1,,,23/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_221.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjIx
221,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,KINGDOM,ultima,https://ihsmarkit.com/products/kingdom-seismic-geological-interpretation-software.html,ELABORANDO INFORME,1,27/07/2018,ASFI/JTIC/R-156772/2018,30/07/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjIy
222,Aduana Nacional,Renovación,Licencia Microsoft Exchange,2018,https://www.microsoft.com/,INFORME EMITIDO,1,,,24/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_223.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjIz
223,Aduana Nacional,Renovación,Licencias Microsoft,2018,https://www.microsoft.com/,INFORME EMITIDO,1,03/08/2018,AN-PREDC-C-2115/2018,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_224.pdf,12-0283-00-314021-1-1,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjI0
224,Aduana Nacional,Renovación,ORACLE PREMIER SUPPORT,12c,https://www.oracle.com/support/index.html,INFORME EMITIDO,1,10/08/2018,AN-PREDC-C-2167/2018,14/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_225.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjI1
225,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,UCUBE - DCUBE,vigente,https://www.rystadenergy.com/,INFORME EMITIDO,1,07/08/2018,YPFB-PRS-GTIC- 390/2018,08/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_226.pdf,18-0513-00-886996-0-E,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjI2
226,Empresa Nacional de Electricidad,Donación,SUISHI,13.0,http://www.cepel.br/sala-de-imprensa/noticias/menu/noticias/aneel-autoriza-uso-de-novas-versoes-dos-programas-computacionais-newave-decomp-e-gevazp.htm,INFORME EMITIDO,1,13/09/2018,ENDE-ATIN-8/24-18,17/09/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_227.pdf,No se encontró registro,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjI3
228,Servicio de Impuestos Nacionales,Adquisición,CyberArk PRIVILEGED ACCOUNT SECURITY SOLUTION,9.9,https://www.cyberark.com/products/privileged-account- security-solution/,ELABORANDO INFORME,2,20/08/2018,SIN/PE/GG/GTIC/OT/00552/2018,27/08/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjI5
229,Banco Central de Bolivia,Adquisición,Equipo de Computacion Especializado SANDBOX,..,https://www.checkpoint.com/products/threat-emulation-sandboxing,ELABORANDO INFORME,2,09/08/2018,BCB-GSIS-CE-2018-22,13/08/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjMw
230,Empresa Nacional de Electricidad,Adquisición,VMware vSphere Enterprise Plus,6,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/pdf/products/vsphere/vmware-vsphere-pricing-whitepaper.pdf,INFORME EMITIDO,2,,,17/09/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_231.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjMx
231,Empresa Nacional de Electricidad,Adquisición,VEEAM BACKUP AND REPLICATION SUITE,9,https://www.veeam.com/es-lat/backup-version-standard-enterprise-editions-comparison.html,INFORME EMITIDO,2,13/09/2018,ENDE-ATIN- 8/4/18,17/09/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_232.pdf,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjMy
232,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,Oracle Crystal Ball,ultima,https://www.oracle.com/applications/crystalball/,INFORME EMITIDO,1,,,23/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_233.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjMz
233,ENDE Valle Hermoso,Adquisición,SOPHOS ENDPOINT PROTECTION,10.8.1.2,https://www.sophos.com/en-us/products/endpoint-antivirus.aspx,EN ESPERA DE NOTA,1,,,21/08/2018,,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjM0
234,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,VALUE NAVIGATOR VALNAV,ultima,https://3esi-enersight.com/,INFORME EMITIDO,1,23/08/2018,YPFB-PRS-GTIC-431/2018,23/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_235.pdf,No se encuentran registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjM1
235,Banco Central de Bolivia,Adquisición,Equipo de Computación Especializado Bóveda de Contraseña,...,"https://www.cyberark.com/es/,  https://www.beyondtrust.com/",ELABORANDO INFORME,2,13/08/2018,BCB-GSIS-CE-2018-24,28/08/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjM2
236,Banco Central de Bolivia,Adquisición,Equipo de Computacion Especializado Firewall de Aplicaciónes WEB WAF,...,https://www.imperva.com/products/application-security/web-application-firewall-waf/,ELABORANDO INFORME,2,13/08/2018,BCB-GSIS-CE-2018-24,15/08/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjM3
237,Servicio de Impuestos Nacionales,Adquisición,Licencias Microsoft para VDI,Windows 10,www.microsoft.com,ELABORANDO INFORME,2,12/09/2018,SIN/PE/GG/GTIC/NOT/00636/2018,12/09/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjM4
238,Servicio de Impuestos Nacionales,Adquisición,Administrador y Monitoreador de Salud y Rendimiento de Aplicaciones,X,http://dynatrace.com; http://appdynamics.com,ELABORANDO INFORME,1,20/09/2018,SIN/PE/GG/GTIC/NOT/00056/2018,21/09/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjM5
240,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,INTEGRATED PRODUCTION MODELLING IPM,ultima,www.petex.com,INFORME EMITIDO,1,,,23/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_241.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQx
241,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,RE-STUDIO,ultima,http://www.amarile.com/,INFORME EMITIDO,1,,,23/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_242.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQy
242,Yacimientos Petrolíferos Fiscales Bolivianos,Adquisición,MOVE,ultima,www.mve.com,INFORME EMITIDO,1,23/08/2018,YPFB-PRS-GTIC-431/2018,23/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_243.pdf,No se encuentran registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQz
243,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,INTERACTIVE PETROPHYSICS,ultima,www.lr.org,INFORME EMITIDO,1,15/10/2018,YPFB-PRS-GTIC-473/2018,15/10/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_244.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQ0
244,Fondo Nacional de Desarrollo Regional,Renovación,Software Antivirus Corporativo Trend Micro,XG 3.1,http://la.trendmicro.com/,INFORME EMITIDO,1,29/08/2018,DE-GGS-SI-RBB-5891-CAR/18,29/08/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_245.pdf,18-0862-00-856532-1-1,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQ1
245,Servicio de Impuestos Nacionales,Adquisición,VMWare,6.x,www.vmware.com,ELABORANDO INFORME,1,12/09/2018,SIN/PE/GG/GTIC/NOT/00635/2018,12/09/2018,https://softwarelibre.gob.bo/excepciones/,,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQ2
246,ASFI,Renovación,IDEA SOFTWARE PARA ANÁLISIS DE DATOS,9,https://www.pilaresconsultores.com/software/idea/,INFORME EMITIDO,1,05/10/2018,ASFI/JTIC/R-209388/2018,08/10/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_247.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQ3
248,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,Renovación,IMSVA,9.1.0.1600,https://www.trendmicro.com/en_us/business/products/user-protection/sps/email-and-collaboration/interscan-messaging.html,INFORME EMITIDO,1,05/09/2018,ATT-DS-N-LP 174/2018,06/09/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_249.pdf,17-0310-00-805816-0-E,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjQ5
251,Yacimientos Petrolíferos Fiscales Bolivianos,Renovación,ECOFILE,ultima,http://www.grupoeconat.com/bo/nuestras_soluciones,INFORME EMITIDO,1,15/10/2018,YPFB-PRS-GTIC-473/2018,15/10/2018,https://softwarelibre.gob.bo/excepciones/./uploads/adsib_it_252.pdf,No se encontraron registros,https://softwarelibre.gob.bo/excepciones/Doceso/ver/MjUy
